version:,2
modelname:,ちゃむ式新宿のアサシ
boneframe_ct:,16478
bone_name,frame_num,Xpos,Ypos,Zpos,Xrot,Yrot,Zrot,phys_disable,interp_x_ax,interp_x_ay,interp_x_bx,interp_x_by,interp_y_ax,interp_y_ay,interp_y_bx,interp_y_by,interp_z_ax,interp_z_ay,interp_z_bx,interp_z_by,interp_r_ax,interp_r_ay,interp_r_bx,interp_r_by
グルーブ,0,0.0,-0.13999998569488525,0.0,-0.0,-0.0,-0.0,False,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
グルーブ,31,0.0,-0.13999998569488525,0.0,-0.0,-0.0,-0.0,False,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
グルーブ,42,0.0,-0.10499995946884155,0.0,-0.0,-0.0,-0.0,False,36,0,93,127,36,0,93,127,36,0,93,127,36,0,93,127
グルーブ,50,0.0,-0.5398527979850769,0.0,-0.0,-0.0,-0.0,False,36,0,93,127,36,0,93,127,36,0,93,127,36,0,93,127
グルーブ,67,0.0,0.1850000023841858,0.0,-0.0,-0.0,-0.0,False,36,0,93,127,36,0,93,127,36,0,93,127,36,0,93,127
グルーブ,77,0.0,-0.6238865852355957,0.0,-0.0,-0.0,-0.0,False,36,0,93,127,36,0,93,127,36,0,93,127,36,0,93,127
グルーブ,93,0.0,0.11999999731779099,0.0,-0.0,-0.0,-0.0,False,36,0,93,127,36,0,93,127,36,0,93,127,36,0,93,127
グルーブ,102,0.0,-0.8144294619560242,0.0,-0.0,-0.0,-0.0,False,36,0,93,127,36,0,93,127,36,0,93,127,36,0,93,127
グルーブ,114,0.0,-0.1850000023841858,0.0,-0.0,-0.0,-0.0,False,36,0,93,127,36,0,93,127,36,0,93,127,36,0,93,127
グルーブ,123,0.0,-0.7797314524650574,0.0,-0.0,-0.0,-0.0,False,36,0,93,127,36,0,93,127,36,0,93,127,36,0,93,127
グルーブ,140,0.0,0.0,0.0,-0.0,-0.0,-0.0,False,36,0,93,127,36,0,93,127,36,0,93,127,36,0,93,127
グルーブ,167,0.0,-0.3649999797344208,0.0,-0.0,-0.0,-0.0,False,20,20,107,107,20,20,107,107,20,20,107,107,20,20,107,107
グルーブ,200,0.0,-0.5152469277381897,0.0,-0.0,-0.0,-0.0,False,55,0,67,127,55,0,67,127,55,0,67,127,55,0,67,127
グルーブ,230,0.0,-0.37499991059303284,0.0,-0.0,-0.0,-0.0,False,36,0,93,127,36,0,93,127,36,0,93,127,36,0,93,127
グルーブ,246,0.0,-1.9299999475479126,0.0,-0.0,-0.0,-0.0,False,55,0,67,127,55,0,67,127,55,0,67,127,55,0,67,127
グルーブ,254,0.0,-0.04000014066696167,0.0,-0.0,-0.0,-0.0,False,55,0,67,127,55,0,67,127,55,0,67,127,55,0,67,127
グルーブ,259,0.0,-0.42500022053718567,0.0,-0.0,-0.0,-0.0,False,55,0,67,127,55,0,67,127,55,0,67,127,55,0,67,127
グルーブ,271,0.0,-1.6299998760223389,0.0,-0.0,-0.0,-0.0,False,55,0,67,127,55,0,67,127,55,0,67,127,55,0,67,127
グルーブ,281,0.0,-0.1799997091293335,0.0,-0.0,-0.0,-0.0,False,55,0,67,127,55,0,67,127,55,0,67,127,55,0,67,127
グルーブ,286,0.0,-0.6299997568130493,0.0,-0.0,-0.0,-0.0,False,55,0,67,127,55,0,67,127,55,0,67,127,55,0,67,127
グルーブ,300,0.0,-1.5799998044967651,0.0,-0.0,-0.0,-0.0,False,55,0,67,127,55,0,67,127,55,0,67,127,55,0,67,127
グルーブ,308,0.0,0.22000005841255188,0.0,-0.0,-0.0,-0.0,False,55,0,67,127,55,0,67,127,55,0,67,127,55,0,67,127
グルーブ,313,0.0,-0.37999996542930603,0.0,-0.0,-0.0,-0.0,False,55,0,67,127,55,0,67,127,55,0,67,127,55,0,67,127
グルーブ,326,0.0,-1.4299999475479126,0.0,-0.0,-0.0,-0.0,False,55,0,67,127,55,0,67,127,55,0,67,127,55,0,67,127
グルーブ,335,0.0,0.005000093951821327,0.0,-0.0,-0.0,-0.0,False,55,0,67,127,55,0,67,127,55,0,67,127,55,0,67,127
グルーブ,342,0.0,-0.5100003480911255,0.0,-0.0,-0.0,-0.0,False,55,0,67,127,55,0,67,127,55,0,67,127,55,0,67,127
グルーブ,352,0.0,-1.6799999475479126,0.0,-0.0,-0.0,-0.0,False,55,0,67,127,55,0,67,127,55,0,67,127,55,0,67,127
グルーブ,361,0.0,-0.09999996423721313,0.0,-0.0,-0.0,-0.0,False,55,0,67,127,55,0,67,127,55,0,67,127,55,0,67,127
グルーブ,378,0.0,-1.4300000667572021,0.0,-0.0,-0.0,-0.0,False,55,0,67,127,55,0,67,127,55,0,67,127,55,0,67,127
グルーブ,387,0.0,0.08999987691640854,0.0,-0.0,-0.0,-0.0,False,55,0,67,127,55,0,67,127,55,0,67,127,55,0,67,127
グルーブ,392,0.0,-0.3750004470348358,0.0,-0.0,-0.0,-0.0,False,55,0,67,127,55,0,67,127,55,0,67,127,55,0,67,127
グルーブ,405,0.0,-1.3300001621246338,0.0,-0.0,-0.0,-0.0,False,55,0,67,127,55,0,67,127,55,0,67,127,55,0,67,127
グルーブ,415,0.0,0.18499988317489624,0.0,-0.0,-0.0,-0.0,False,55,0,67,127,55,0,67,127,55,0,67,127,55,0,67,127
グルーブ,420,0.0,-0.3700001537799835,0.0,-0.0,-0.0,-0.0,False,55,0,67,127,55,0,67,127,55,0,67,127,55,0,67,127
グルーブ,432,0.0,-1.015000343322754,0.0,-0.0,-0.0,-0.0,False,55,0,67,127,55,0,67,127,55,0,67,127,55,0,67,127
グルーブ,441,0.0,0.12499997019767761,0.0,-0.0,-0.0,-0.0,False,55,0,67,127,55,0,67,127,55,0,67,127,55,0,67,127
グルーブ,446,0.0,-0.28000015020370483,0.0,-0.0,-0.0,-0.0,False,55,0,67,127,55,0,67,127,55,0,67,127,55,0,67,127
グルーブ,460,0.0,-0.8550006151199341,0.0,-0.0,-0.0,-0.0,False,55,0,67,127,55,0,67,127,55,0,67,127,55,0,67,127
グルーブ,468,0.0,0.25999972224235535,0.0,-0.0,-0.0,-0.0,False,55,0,67,127,55,0,67,127,55,0,67,127,55,0,67,127
グルーブ,472,0.0,-0.08500030636787415,0.0,-0.0,-0.0,-0.0,False,55,0,67,127,55,0,67,127,55,0,67,127,55,0,67,127
グルーブ,486,0.0,-0.9200005531311035,0.0,-0.0,-0.0,-0.0,False,55,0,67,127,55,0,67,127,55,0,67,127,55,0,67,127
グルーブ,495,0.0,0.16999968886375427,0.0,-0.0,-0.0,-0.0,False,55,0,67,127,55,0,67,127,55,0,67,127,55,0,67,127
グルーブ,499,0.0,-0.03000032901763916,0.0,-0.0,-0.0,-0.0,False,55,0,67,127,55,0,67,127,55,0,67,127,55,0,67,127
グルーブ,512,0.0,-0.9300003051757812,0.0,-0.0,-0.0,-0.0,False,55,0,67,127,55,0,67,127,55,0,67,127,55,0,67,127
グルーブ,520,0.0,0.11999969184398651,0.0,-0.0,-0.0,-0.0,False,55,0,67,127,55,0,67,127,55,0,67,127,55,0,67,127
グルーブ,525,0.0,-0.18000032007694244,0.0,-0.0,-0.0,-0.0,False,55,0,67,127,55,0,67,127,55,0,67,127,55,0,67,127
グルーブ,538,0.0,-1.080000400543213,0.0,-0.0,-0.0,-0.0,False,55,0,67,127,55,0,67,127,55,0,67,127,55,0,67,127
グルーブ,546,0.0,0.069999560713768,0.0,-0.0,-0.0,-0.0,False,55,0,67,127,55,0,67,127,55,0,67,127,55,0,67,127
グルーブ,550,0.0,-0.12500043213367462,0.0,-0.0,-0.0,-0.0,False,55,0,67,127,55,0,67,127,55,0,67,127,55,0,67,127
グルーブ,649,0.0,-0.3250008225440979,0.0,-0.0,-0.0,-0.0,False,55,0,67,127,55,0,67,127,55,0,67,127,55,0,67,127
グルーブ,654,0.0,0.08999912440776825,0.0,-0.0,-0.0,-0.0,False,46,7,82,115,46,7,82,115,46,7,82,115,46,7,82,115
グルーブ,658,0.0,-0.4250009059906006,0.0,-0.0,-0.0,-0.0,False,46,7,82,115,46,7,82,115,46,7,82,115,46,7,82,115
グルーブ,661,0.0,-0.12500089406967163,0.0,-0.0,-0.0,-0.0,False,46,7,82,115,46,7,82,115,46,7,82,115,46,7,82,115
グルーブ,664,0.0,-0.3700008690357208,0.0,-0.0,-0.0,-0.0,False,46,7,82,115,46,7,82,115,46,7,82,115,46,7,82,115
グルーブ,667,0.0,0.35499903559684753,0.0,-0.0,-0.0,-0.0,False,46,7,82,115,46,7,82,115,46,7,82,115,46,7,82,115
グルーブ,671,0.0,-0.1250009387731552,0.0,-0.0,-0.0,-0.0,False,46,7,82,115,46,7,82,115,46,7,82,115,46,7,82,115
グルーブ,676,0.0,0.0,0.0,-0.0,-0.0,-0.0,False,46,7,82,115,46,7,82,115,46,7,82,115,46,7,82,115
グルーブ,680,0.0,0.3649980127811432,0.0,-0.0,-0.0,-0.0,False,46,7,82,115,46,7,82,115,46,7,82,115,46,7,82,115
グルーブ,683,0.0,-0.05000092834234238,0.0,-0.0,-0.0,-0.0,False,46,7,82,115,46,7,82,115,46,7,82,115,46,7,82,115
グルーブ,686,0.0,0.3699991703033447,0.0,-0.0,-0.0,-0.0,False,46,7,82,115,46,7,82,115,46,7,82,115,46,7,82,115
グルーブ,690,0.0,0.17999905347824097,0.0,-0.0,-0.0,-0.0,False,46,7,82,115,46,7,82,115,46,7,82,115,46,7,82,115
グルーブ,694,0.0,0.5665891170501709,0.0,-0.0,-0.0,-0.0,False,46,7,82,115,46,7,82,115,46,7,82,115,46,7,82,115
グルーブ,701,0.0,-0.2800009250640869,0.0,-0.0,-0.0,-0.0,False,46,7,82,115,46,7,82,115,46,7,82,115,46,7,82,115
グルーブ,705,0.0,0.434999018907547,0.0,-0.0,-0.0,-0.0,False,46,7,82,115,46,7,82,115,46,7,82,115,46,7,82,115
グルーブ,710,0.0,-0.1250009387731552,0.0,-0.0,-0.0,-0.0,False,46,7,82,115,46,7,82,115,46,7,82,115,46,7,82,115
グルーブ,719,0.0,0.5549989342689514,0.0,-0.0,-0.0,-0.0,False,46,7,82,115,46,7,82,115,46,7,82,115,46,7,82,115
グルーブ,729,0.0,-0.6050010919570923,0.0,-0.0,-0.0,-0.0,False,46,7,82,115,46,7,82,115,46,7,82,115,46,7,82,115
グルーブ,733,0.0,0.0,0.0,-0.0,-0.0,-0.0,False,46,7,82,115,46,7,82,115,46,7,82,115,46,7,82,115
グルーブ,737,0.0,-0.4000009298324585,0.0,-0.0,-0.0,-0.0,False,46,7,82,115,46,7,82,115,46,7,82,115,46,7,82,115
グルーブ,744,0.0,0.0,0.0,-0.0,-0.0,-0.0,False,53,0,76,127,53,0,76,127,53,0,76,127,53,0,76,127
グルーブ,751,0.0,-0.9750000238418579,0.0,-0.0,-0.0,-0.0,False,53,0,76,127,53,0,76,127,53,0,76,127,53,0,76,127
グルーブ,759,0.0,0.0,0.0,-0.0,-0.0,-0.0,False,53,0,76,127,53,0,76,127,53,0,76,127,53,0,76,127
グルーブ,764,0.0,-0.74000084400177,0.0,-0.0,-0.0,-0.0,False,46,7,82,115,46,7,82,115,46,7,82,115,46,7,82,115
